State,class,tokenize_with_padding,tokenize_no_padding
".X,x+X,X.X+",0,"[47, 34, 48, 25, 49, 34, 48, 34, 47, 34]","[47, 34, 48, 25, 49, 34, 48, 34, 47, 34, 49]"
"X.X,y,V.E.X",0,"[34, 47, 34, 48, 26, 48, 32, 47, 14, 47]","[34, 47, 34, 48, 26, 48, 32, 47, 14, 47, 34]"
X+X00,0,"[34, 49, 34, 37, 37, 0, 0, 0, 0, 0]","[34, 49, 34, 37, 37]"
F.,0,"[15, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[15, 47]"
z.Z.,0,"[27, 47, 36, 47, 0, 0, 0, 0, 0, 0]","[27, 47, 36, 47]"
Z.Z.Z.Z.,0,"[36, 47, 36, 47, 36, 47, 36, 47, 0, 0]","[36, 47, 36, 47, 36, 47, 36, 47]"
.Y.W.W.W.F.,0,"[47, 35, 47, 33, 47, 33, 47, 33, 47, 15]","[47, 35, 47, 33, 47, 33, 47, 33, 47, 15, 47]"
W.Y.W.W.,0,"[33, 47, 35, 47, 33, 47, 33, 47, 0, 0]","[33, 47, 35, 47, 33, 47, 33, 47]"
Z.Z.Z.z.,0,"[36, 47, 36, 47, 36, 47, 27, 47, 0, 0]","[36, 47, 36, 47, 36, 47, 27, 47]"
"Y00Y,Y.Y+Y0",0,"[35, 37, 37, 35, 48, 35, 47, 35, 49, 35]","[35, 37, 37, 35, 48, 35, 47, 35, 49, 35, 37]"
Z.i.I.I.,0,"[36, 47, 9, 47, 18, 47, 18, 47, 0, 0]","[36, 47, 9, 47, 18, 47, 18, 47]"
*y+y+W.H.w.,0,"[50, 26, 49, 26, 49, 33, 47, 17, 47, 24]","[50, 26, 49, 26, 49, 33, 47, 17, 47, 24, 47]"
.Y.y.y.H.y.,0,"[47, 35, 47, 26, 47, 26, 47, 17, 47, 26]","[47, 35, 47, 26, 47, 26, 47, 17, 47, 26, 47]"
"F.W.W.Y,Y.Y",0,"[15, 47, 33, 47, 33, 47, 35, 48, 35, 47]","[15, 47, 33, 47, 33, 47, 35, 48, 35, 47, 35]"
Z.z.,0,"[36, 47, 27, 47, 0, 0, 0, 0, 0, 0]","[36, 47, 27, 47]"
Z.,0,"[36, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 47]"
".X.X,X.Y,W.",0,"[47, 34, 47, 34, 48, 34, 47, 35, 48, 33]","[47, 34, 47, 34, 48, 34, 47, 35, 48, 33, 47]"
Z.z.z.z.,0,"[36, 47, 27, 47, 27, 47, 27, 47, 0, 0]","[36, 47, 27, 47, 27, 47, 27, 47]"
z+z+I+z+I*I,0,"[27, 49, 27, 49, 18, 49, 27, 49, 18, 50]","[27, 49, 27, 49, 18, 49, 27, 49, 18, 50, 18]"
z.w.W.W.,0,"[27, 47, 24, 47, 33, 47, 33, 47, 0, 0]","[27, 47, 24, 47, 33, 47, 33, 47]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
S0s0,1,"[29, 37, 20, 37, 0, 0, 0, 0, 0, 0]","[29, 37, 20, 37]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
V0,1,"[32, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 37]"
W00,1,"[33, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[33, 37, 37]"
W*W.,1,"[33, 50, 33, 47, 0, 0, 0, 0, 0, 0]","[33, 50, 33, 47]"
u*r0U+,1,"[22, 50, 19, 37, 31, 49, 0, 0, 0, 0]","[22, 50, 19, 37, 31, 49]"
s*s*s0,1,"[20, 50, 20, 50, 20, 37, 0, 0, 0, 0]","[20, 50, 20, 50, 20, 37]"
0S*,1,"[37, 29, 50, 0, 0, 0, 0, 0, 0, 0]","[37, 29, 50]"
B0s*,1,"[11, 37, 20, 50, 0, 0, 0, 0, 0, 0]","[11, 37, 20, 50]"
S*s0,1,"[29, 50, 20, 37, 0, 0, 0, 0, 0, 0]","[29, 50, 20, 37]"
0s*,1,"[37, 20, 50, 0, 0, 0, 0, 0, 0, 0]","[37, 20, 50]"
r*b*,1,"[19, 50, 2, 50, 0, 0, 0, 0, 0, 0]","[19, 50, 2, 50]"
s0B0,1,"[20, 37, 11, 37, 0, 0, 0, 0, 0, 0]","[20, 37, 11, 37]"
0V*v0,1,"[37, 32, 50, 23, 37, 0, 0, 0, 0, 0]","[37, 32, 50, 23, 37]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s+,1,"[20, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 49]"
s0S*,1,"[20, 37, 29, 50, 0, 0, 0, 0, 0, 0]","[20, 37, 29, 50]"
s0S*,1,"[20, 37, 29, 50, 0, 0, 0, 0, 0, 0]","[20, 37, 29, 50]"
s*s*S+s*,1,"[20, 50, 20, 50, 29, 49, 20, 50, 0, 0]","[20, 50, 20, 50, 29, 49, 20, 50]"
B*s0,1,"[11, 50, 20, 37, 0, 0, 0, 0, 0, 0]","[11, 50, 20, 37]"
V00,1,"[32, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[32, 37, 37]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
S000,1,"[29, 37, 37, 37, 0, 0, 0, 0, 0, 0]","[29, 37, 37, 37]"
v*V00,1,"[23, 50, 32, 37, 37, 0, 0, 0, 0, 0]","[23, 50, 32, 37, 37]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
v+,1,"[23, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 49]"
s*S0,1,"[20, 50, 29, 37, 0, 0, 0, 0, 0, 0]","[20, 50, 29, 37]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S+S*A*S00,1,"[29, 49, 29, 50, 10, 50, 29, 37, 37, 0]","[29, 49, 29, 50, 10, 50, 29, 37, 37]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
S000,1,"[29, 37, 37, 37, 0, 0, 0, 0, 0, 0]","[29, 37, 37, 37]"
00s*,1,"[37, 37, 20, 50, 0, 0, 0, 0, 0, 0]","[37, 37, 20, 50]"
s0S*,1,"[20, 37, 29, 50, 0, 0, 0, 0, 0, 0]","[20, 37, 29, 50]"
s*S00,1,"[20, 50, 29, 37, 37, 0, 0, 0, 0, 0]","[20, 50, 29, 37, 37]"
V0,1,"[32, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 37]"
s00S*,1,"[20, 37, 37, 29, 50, 0, 0, 0, 0, 0]","[20, 37, 37, 29, 50]"
S+,1,"[29, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 49]"
S000,1,"[29, 37, 37, 37, 0, 0, 0, 0, 0, 0]","[29, 37, 37, 37]"
B*b*s*,1,"[11, 50, 2, 50, 20, 50, 0, 0, 0, 0]","[11, 50, 2, 50, 20, 50]"
B*,1,"[11, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 50]"
00S*,1,"[37, 37, 29, 50, 0, 0, 0, 0, 0, 0]","[37, 37, 29, 50]"
s*s*B*S+S*s,1,"[20, 50, 20, 50, 11, 50, 29, 49, 29, 50]","[20, 50, 20, 50, 11, 50, 29, 49, 29, 50, 20]"
s0S*S0s*,1,"[20, 37, 29, 50, 29, 37, 20, 50, 0, 0]","[20, 37, 29, 50, 29, 37, 20, 50]"
s00s*,1,"[20, 37, 37, 20, 50, 0, 0, 0, 0, 0]","[20, 37, 37, 20, 50]"
s00,1,"[20, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[20, 37, 37]"
00S+,1,"[37, 37, 29, 49, 0, 0, 0, 0, 0, 0]","[37, 37, 29, 49]"
"s,",1,"[20, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 48]"
S0S*s*,1,"[29, 37, 29, 50, 20, 50, 0, 0, 0, 0]","[29, 37, 29, 50, 20, 50]"
0Z+Z0Z.Z0Z+,1,"[37, 36, 49, 36, 37, 36, 47, 36, 37, 36]","[37, 36, 49, 36, 37, 36, 47, 36, 37, 36, 49]"
Z0Z+Z0Z*Z0Z,1,"[36, 37, 36, 49, 36, 37, 36, 50, 36, 37]","[36, 37, 36, 49, 36, 37, 36, 50, 36, 37, 36]"
00,1,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
Y*U.Z*Z*z+Z,1,"[35, 50, 31, 47, 36, 50, 36, 50, 27, 49]","[35, 50, 31, 47, 36, 50, 36, 50, 27, 49, 36]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
00,1,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
S00,1,"[29, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[29, 37, 37]"
R00,1,"[28, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[28, 37, 37]"
A*r0,1,"[10, 50, 19, 37, 0, 0, 0, 0, 0, 0]","[10, 50, 19, 37]"
R+W0,1,"[28, 49, 33, 37, 0, 0, 0, 0, 0, 0]","[28, 49, 33, 37]"
0S*B*s+s*B*,1,"[37, 29, 50, 11, 50, 20, 49, 20, 50, 11]","[37, 29, 50, 11, 50, 20, 49, 20, 50, 11, 50]"
B*B*,1,"[11, 50, 11, 50, 0, 0, 0, 0, 0, 0]","[11, 50, 11, 50]"
B*s*s*B*,1,"[11, 50, 20, 50, 20, 50, 11, 50, 0, 0]","[11, 50, 20, 50, 20, 50, 11, 50]"
"*S,s,S+S,S*",1,"[50, 29, 48, 20, 48, 29, 49, 29, 48, 29]","[50, 29, 48, 20, 48, 29, 49, 29, 48, 29, 50]"
0S*,1,"[37, 29, 50, 0, 0, 0, 0, 0, 0, 0]","[37, 29, 50]"
s+T*b*s00,1,"[20, 49, 30, 50, 2, 50, 20, 37, 37, 0]","[20, 49, 30, 50, 2, 50, 20, 37, 37]"
S00s*,1,"[29, 37, 37, 20, 50, 0, 0, 0, 0, 0]","[29, 37, 37, 20, 50]"
s0s*s*s*,1,"[20, 37, 20, 50, 20, 50, 20, 50, 0, 0]","[20, 37, 20, 50, 20, 50, 20, 50]"
S*s0s*S+S*,1,"[29, 50, 20, 37, 20, 50, 29, 49, 29, 50]","[29, 50, 20, 37, 20, 50, 29, 49, 29, 50]"
s00,1,"[20, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[20, 37, 37]"
S0S*,1,"[29, 37, 29, 50, 0, 0, 0, 0, 0, 0]","[29, 37, 29, 50]"
s*s0,1,"[20, 50, 20, 37, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 37]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
00,1,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
"+I+z,z,z+z+",1,"[49, 18, 49, 27, 48, 27, 48, 27, 49, 27]","[49, 18, 49, 27, 48, 27, 48, 27, 49, 27, 49]"
",z+z,z+w,z+",1,"[48, 27, 49, 27, 48, 27, 49, 24, 48, 27]","[48, 27, 49, 27, 48, 27, 49, 24, 48, 27, 49]"
Z00,1,"[36, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[36, 37, 37]"
Z00Z+,1,"[36, 37, 37, 36, 49, 0, 0, 0, 0, 0]","[36, 37, 37, 36, 49]"
+E+E+E+E+E+,1,"[49, 14, 49, 14, 49, 14, 49, 14, 49, 14]","[49, 14, 49, 14, 49, 14, 49, 14, 49, 14, 49]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
S*S.S*,1,"[29, 50, 29, 47, 29, 50, 0, 0, 0, 0]","[29, 50, 29, 47, 29, 50]"
V00,1,"[32, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[32, 37, 37]"
S00,1,"[29, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[29, 37, 37]"
00V*,1,"[37, 37, 32, 50, 0, 0, 0, 0, 0, 0]","[37, 37, 32, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
R0,1,"[28, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 37]"
"Y,H,y,y,H,y",1,"[35, 48, 17, 48, 26, 48, 26, 48, 17, 48]","[35, 48, 17, 48, 26, 48, 26, 48, 17, 48, 26]"
S*S.S*S.,1,"[29, 50, 29, 47, 29, 50, 29, 47, 0, 0]","[29, 50, 29, 47, 29, 50, 29, 47]"
"S*S,S*S.",1,"[29, 50, 29, 48, 29, 50, 29, 47, 0, 0]","[29, 50, 29, 48, 29, 50, 29, 47]"
"y,Y0Y,Y*Y,y",1,"[26, 48, 35, 37, 35, 48, 35, 50, 35, 48]","[26, 48, 35, 37, 35, 48, 35, 50, 35, 48, 26]"
"*Y0Y,Y,y,y,",1,"[50, 35, 37, 35, 48, 35, 48, 26, 48, 26]","[50, 35, 37, 35, 48, 35, 48, 26, 48, 26, 48]"
S00,1,"[29, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[29, 37, 37]"
00,1,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
V*V0E0,1,"[32, 50, 32, 37, 14, 37, 0, 0, 0, 0]","[32, 50, 32, 37, 14, 37]"
"S,S*s0",1,"[29, 48, 29, 50, 20, 37, 0, 0, 0, 0]","[29, 48, 29, 50, 20, 37]"
"W*S,S*",1,"[33, 50, 29, 48, 29, 50, 0, 0, 0, 0]","[33, 50, 29, 48, 29, 50]"
r0,1,"[19, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 37]"
*w+s*S00W+B,1,"[50, 24, 49, 20, 50, 29, 37, 37, 33, 49]","[50, 24, 49, 20, 50, 29, 37, 37, 33, 49, 11]"
W00R+,1,"[33, 37, 37, 28, 49, 0, 0, 0, 0, 0]","[33, 37, 37, 28, 49]"
B*F*B*,1,"[11, 50, 15, 50, 11, 50, 0, 0, 0, 0]","[11, 50, 15, 50, 11, 50]"
v*v00,1,"[23, 50, 23, 37, 37, 0, 0, 0, 0, 0]","[23, 50, 23, 37, 37]"
U0U*,1,"[31, 37, 31, 50, 0, 0, 0, 0, 0, 0]","[31, 37, 31, 50]"
"S*S,S*",1,"[29, 50, 29, 48, 29, 50, 0, 0, 0, 0]","[29, 50, 29, 48, 29, 50]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
U00,1,"[31, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[31, 37, 37]"
S*s+s*s+,1,"[29, 50, 20, 49, 20, 50, 20, 49, 0, 0]","[29, 50, 20, 49, 20, 50, 20, 49]"
00,1,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
v00,1,"[23, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[23, 37, 37]"
0S+s*s*s*B*,1,"[37, 29, 49, 20, 50, 20, 50, 20, 50, 11]","[37, 29, 49, 20, 50, 20, 50, 20, 50, 11, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
00,1,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
S00s0s*,1,"[29, 37, 37, 20, 37, 20, 50, 0, 0, 0]","[29, 37, 37, 20, 37, 20, 50]"
i+Z0i0i0,1,"[9, 49, 36, 37, 9, 37, 9, 37, 0, 0]","[9, 49, 36, 37, 9, 37, 9, 37]"
S00,1,"[29, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[29, 37, 37]"
B0,1,"[11, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 37]"
00,1,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
S000,1,"[29, 37, 37, 37, 0, 0, 0, 0, 0, 0]","[29, 37, 37, 37]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
R000,1,"[28, 37, 37, 37, 0, 0, 0, 0, 0, 0]","[28, 37, 37, 37]"
s*s*,1,"[20, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 50]"
B*,1,"[11, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 50]"
I*v0,1,"[18, 50, 23, 37, 0, 0, 0, 0, 0, 0]","[18, 50, 23, 37]"
S000S*,1,"[29, 37, 37, 37, 29, 50, 0, 0, 0, 0]","[29, 37, 37, 37, 29, 50]"
"S,S,",1,"[29, 48, 29, 48, 0, 0, 0, 0, 0, 0]","[29, 48, 29, 48]"
W*,1,"[33, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 50]"
S+s+,1,"[29, 49, 20, 49, 0, 0, 0, 0, 0, 0]","[29, 49, 20, 49]"
U00,1,"[31, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[31, 37, 37]"
"W00R,",1,"[33, 37, 37, 28, 48, 0, 0, 0, 0, 0]","[33, 37, 37, 28, 48]"
"W00R,",1,"[33, 37, 37, 28, 48, 0, 0, 0, 0, 0]","[33, 37, 37, 28, 48]"
S*W.S*,1,"[29, 50, 33, 47, 29, 50, 0, 0, 0, 0]","[29, 50, 33, 47, 29, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
"S*S,S*S.",1,"[29, 50, 29, 48, 29, 50, 29, 47, 0, 0]","[29, 50, 29, 48, 29, 50, 29, 47]"
W*W.,1,"[33, 50, 33, 47, 0, 0, 0, 0, 0, 0]","[33, 50, 33, 47]"
Z0,1,"[36, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 37]"
w0,1,"[24, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[24, 37]"
B*,1,"[11, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 50]"
B*,1,"[11, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 50]"
V*E*,1,"[32, 50, 14, 50, 0, 0, 0, 0, 0, 0]","[32, 50, 14, 50]"
u00,1,"[22, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[22, 37, 37]"
v00,1,"[23, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[23, 37, 37]"
"W*S,S*",1,"[33, 50, 29, 48, 29, 50, 0, 0, 0, 0]","[33, 50, 29, 48, 29, 50]"
S0,1,"[29, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 37]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
00,1,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
S*S*,1,"[29, 50, 29, 50, 0, 0, 0, 0, 0, 0]","[29, 50, 29, 50]"
Z0y*Z0Z+,1,"[36, 37, 26, 50, 36, 37, 36, 49, 0, 0]","[36, 37, 26, 50, 36, 37, 36, 49]"
Z0Z.Z0Z*,1,"[36, 37, 36, 47, 36, 37, 36, 50, 0, 0]","[36, 37, 36, 47, 36, 37, 36, 50]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z.Z0Z+,1,"[36, 37, 36, 47, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 47, 36, 37, 36, 49]"
Z0Z.Z0Z+,1,"[36, 37, 36, 47, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 47, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
R00R*,1,"[28, 37, 37, 28, 50, 0, 0, 0, 0, 0]","[28, 37, 37, 28, 50]"
0Z+Z0Z+Z0Z+,1,"[37, 36, 49, 36, 37, 36, 49, 36, 37, 36]","[37, 36, 49, 36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+Z0Z,1,"[36, 37, 36, 49, 36, 37, 36, 49, 36, 37]","[36, 37, 36, 49, 36, 37, 36, 49, 36, 37, 36]"
Z0Z+Z0Z.Z0Z,1,"[36, 37, 36, 49, 36, 37, 36, 47, 36, 37]","[36, 37, 36, 49, 36, 37, 36, 47, 36, 37, 36]"
W00,1,"[33, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[33, 37, 37]"
W0R*,1,"[33, 37, 28, 50, 0, 0, 0, 0, 0, 0]","[33, 37, 28, 50]"
Z0Z.Z0Z+,1,"[36, 37, 36, 47, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 47, 36, 37, 36, 49]"
Z0Z+Z0Z.Z0Z,1,"[36, 37, 36, 49, 36, 37, 36, 47, 36, 37]","[36, 37, 36, 49, 36, 37, 36, 47, 36, 37, 36]"
Z0Z.Z0Z+,1,"[36, 37, 36, 47, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 47, 36, 37, 36, 49]"
0V+,1,"[37, 32, 49, 0, 0, 0, 0, 0, 0, 0]","[37, 32, 49]"
z*z0Z+,1,"[27, 50, 27, 37, 36, 49, 0, 0, 0, 0]","[27, 50, 27, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
F*v0R*,1,"[15, 50, 23, 37, 28, 50, 0, 0, 0, 0]","[15, 50, 23, 37, 28, 50]"
W0Z.Z0Z+,1,"[33, 37, 36, 47, 36, 37, 36, 49, 0, 0]","[33, 37, 36, 47, 36, 37, 36, 49]"
z*z0Z+,1,"[27, 50, 27, 37, 36, 49, 0, 0, 0, 0]","[27, 50, 27, 37, 36, 49]"
0Z+Z0Z+Z0Z*,1,"[37, 36, 49, 36, 37, 36, 49, 36, 37, 36]","[37, 36, 49, 36, 37, 36, 49, 36, 37, 36, 50]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
W0Z+Z0Z+,1,"[33, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[33, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
u0,1,"[22, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 37]"
W0,1,"[33, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 37]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
S*w+s*,1,"[29, 50, 24, 49, 20, 50, 0, 0, 0, 0]","[29, 50, 24, 49, 20, 50]"
r0,1,"[19, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 37]"
u00R*,1,"[22, 37, 37, 28, 50, 0, 0, 0, 0, 0]","[22, 37, 37, 28, 50]"
Z0Z+,1,"[36, 37, 36, 49, 0, 0, 0, 0, 0, 0]","[36, 37, 36, 49]"
z*v0Z*,1,"[27, 50, 23, 37, 36, 50, 0, 0, 0, 0]","[27, 50, 23, 37, 36, 50]"
z*v0Z*,1,"[27, 50, 23, 37, 36, 50, 0, 0, 0, 0]","[27, 50, 23, 37, 36, 50]"
z*V0Z*,1,"[27, 50, 32, 37, 36, 50, 0, 0, 0, 0]","[27, 50, 32, 37, 36, 50]"
s+,1,"[20, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
R00,1,"[28, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[28, 37, 37]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
"b,",1,"[2, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 48]"
S00,1,"[29, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[29, 37, 37]"
y*r0,1,"[26, 50, 19, 37, 0, 0, 0, 0, 0, 0]","[26, 50, 19, 37]"
U00,1,"[31, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[31, 37, 37]"
U00,1,"[31, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[31, 37, 37]"
Z0,1,"[36, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 37]"
W00,1,"[33, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[33, 37, 37]"
"u*w0W,",1,"[22, 50, 24, 37, 33, 48, 0, 0, 0, 0]","[22, 50, 24, 37, 33, 48]"
Z0Z.Z0z*,1,"[36, 37, 36, 47, 36, 37, 27, 50, 0, 0]","[36, 37, 36, 47, 36, 37, 27, 50]"
Z0Z.Z0z*,1,"[36, 37, 36, 47, 36, 37, 27, 50, 0, 0]","[36, 37, 36, 47, 36, 37, 27, 50]"
W00S*,1,"[33, 37, 37, 29, 50, 0, 0, 0, 0, 0]","[33, 37, 37, 29, 50]"
",s+W*S.S,s,",1,"[48, 20, 49, 33, 50, 29, 47, 29, 48, 20]","[48, 20, 49, 33, 50, 29, 47, 29, 48, 20, 48]"
U00,1,"[31, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[31, 37, 37]"
U00,1,"[31, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[31, 37, 37]"
U00W*,1,"[31, 37, 37, 33, 50, 0, 0, 0, 0, 0]","[31, 37, 37, 33, 50]"
U00W*,1,"[31, 37, 37, 33, 50, 0, 0, 0, 0, 0]","[31, 37, 37, 33, 50]"
V00U*,1,"[32, 37, 37, 31, 50, 0, 0, 0, 0, 0]","[32, 37, 37, 31, 50]"
V00U*,1,"[32, 37, 37, 31, 50, 0, 0, 0, 0, 0]","[32, 37, 37, 31, 50]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
".S*S,s,s.S*",1,"[47, 29, 50, 29, 48, 20, 48, 20, 47, 29]","[47, 29, 50, 29, 48, 20, 48, 20, 47, 29, 50]"
W00,1,"[33, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[33, 37, 37]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
Z0Z+Z0Z+,1,"[36, 37, 36, 49, 36, 37, 36, 49, 0, 0]","[36, 37, 36, 49, 36, 37, 36, 49]"
